i,s
0,0.830366
1,0.859436
2,0.863609
3,0.862373
4,0.839902
5,0.819692
6,0.872821
7,0.856570
8,0.839267
9,0.877244
10,0.827607
11,0.855907
12,0.828749
13,0.831339
14,0.856088
15,0.791097
16,0.894600
17,0.820426
18,0.812082
19,0.893388
20,0.882989
21,0.892367
22,0.824880
23,0.798627
24,0.811043
25,0.861355
26,0.785664
27,0.861176
28,0.823043
29,0.845169
30,0.854600
31,0.814134
32,0.856268
33,0.893638
34,0.871085
35,0.843070
36,0.859957
37,0.829724
38,0.881761
39,0.850888
40,0.849715
41,0.828313
42,0.823920
43,0.865340
44,0.833179
45,0.828479
46,0.858876
47,0.833117
48,0.817507
49,0.863649
50,0.859937
51,0.817696
52,0.805041
53,0.877165
54,0.809643
55,0.867206
56,0.879613
57,0.834478
58,0.889742
59,0.804507
60,0.816412
61,0.808069
62,0.849776
63,0.851171
64,0.848358
65,0.866611
66,0.839287
67,0.786255
68,0.825755
69,0.812082
70,0.858175
71,0.879417
72,0.830408
73,0.835405
74,0.824358
75,0.856831
76,0.845942
77,0.824066
78,0.873471
79,0.857734
80,0.584074
81,0.761383
82,0.588123
83,0.827025
84,0.775085
85,0.738308
86,0.821830
87,0.417908
88,0.533049
89,0.733610
90,0.305944
91,0.305550
92,0.443312
93,0.434613
94,0.330014
95,0.386253
96,0.325924
97,0.278640
98,0.416507
99,0.336517
100,0.242890
101,0.325343
102,0.298546
103,0.353468
104,0.299006
105,0.277403
106,0.376421
107,0.322742
108,0.317747
109,0.326714
110,0.350487
111,0.359021
112,0.217801
113,0.380239
114,0.321460
115,0.347085
116,0.325184
117,0.338657
118,0.280547
119,0.289478
120,0.299868
121,0.326188
122,0.302268
123,0.374634
124,0.325078
125,0.306786
126,0.367683
127,0.432232
